termA	idA	matchA	termB	idB	matchB	relatedness
love	17547	Love	sex	27546	Sexual_intercourse	0.677
tiger	30075	Tiger	cat	6678	Cat	0.735
tiger	30075	Tiger	tiger	30075	Tiger	1
book	3778	Book	paper	16861908	Paper	0.746
computer	7878457	Computer	keyboard	18842281	Keyboard_(computing)	0.762
computer	7878457	Computer	internet	14539	Internet	0.758
plane	46770	Fixed-wing_aircraft	car	13673345	Automobile	0.577
train	30598	Train	car	13673345	Automobile	0.631
telephone	30003	Telephone	communication	30322	Telecommunication	0.75
television	29831	Television	radio	173088	Radio_broadcasting	0.677
media	19641	Mass_media	radio	173088	Radio_broadcasting	0.742
drug	9311172	Drug	abuse	424739	Abuse	0.685
bread	36969	Bread	butter	46183	Butter	0.619
cucumber	164491	Cucumber	potato	23501	Potato	0.592
doctor	23315	Physician	nurse	55292	Nurse	0.7
professor	20646803	Professor	doctor	188886	Doctorate	0.662
student	155526	Student	professor	20646803	Professor	0.681
smart	519280	Intelligence	student	155526	Student	0.462
smart	519280	Intelligence	stupid	19159221	Stupidity	0.581
company	4918223	Company	stock	19372783	Stock	0.708
stock	19372783	Stock	market	3736784	Market	0.808
stock	19372783	Stock	phone	30003	Telephone	0.162
stock	19372783	Stock	CD	6429	Compact_Disc	0.131
stock	19372783	Stock	jaguar	147676	Jaguar_Cars	0.092
stock	19372783	Stock	egg	19196010	Egg_(food)	0.181
fertility	257215	Fertility	egg	484939	Egg_(biology)	0.669
stock	19372783	Stock	live	18393	Life	0.373
stock	19372783	Stock	life	18393	Life	0.092
book	3778	Book	library	17727	Library	0.746
bank	19360669	Bank	money	8983183	Money	0.812
wood	33550	Wood	forest	11090	Forest	0.773
money	8983183	Money	cash	55336	Cash	0.915
professor	20646803	Professor	cucumber	164491	Cucumber	0.031
king	19012	King	cabbage	55115	Cabbage	0.023
king	19012	King	queen	887147	Queen_regnant	0.858
king	47485	King_(chess)	rook	47615	Rook_(chess)	0.592
bishop	4092	Bishop	rabbi	51273	Rabbi	0.669
Jerusalem	16043	Jerusalem	Israel	9282173	Israel	0.846
Jerusalem	16043	Jerusalem	Palestinian	23267	Palestinian_people	0.765
holy	12178732	Sacred	sex	27546	Sexual_intercourse	0.162
fuck	5575722	Fuck	sex	27546	Sexual_intercourse	0.944
Maradona	8485	Diego_Maradona	football	10568	Association_football	0.862
football	10568	Association_football	soccer	10568	Association_football	0.903
football	18951490	American_football	basketball	3921	Basketball	0.681
football	10568	Association_football	tennis	29773	Tennis	0.663
tennis	29773	Tennis	racket	52664	Racquet	0.756
Arafat	34289	Yasser_Arafat	peace	24702	Peace	0.673
Arafat	34289	Yasser_Arafat	terror	30636	Terrorism	0.765
Arafat	34289	Yasser_Arafat	Jackson	14995351	Michael_Jackson	0.25
law	18949668	Law	lawyer	17541	Lawyer	0.838
movie	21555729	Film	star	5796	Celebrity	0.738
movie	21555729	Film	popcorn	232176	Popcorn	0.619
movie	21555729	Film	critic	11065202	Film_criticism	0.673
movie	21555729	Film	theater	77819	Movie_theater	0.792
physics	22939	Physics	proton	23317	Proton	0.812
physics	22939	Physics	chemistry	5180	Chemistry	0.735
space	27667	Space	chemistry	5180	Chemistry	0.488
alcohol	1014	Alcohol	chemistry	5180	Chemistry	0.554
vodka	32787	Vodka	gin	12988	Gin	0.846
vodka	32787	Vodka	brandy	45189	Brandy	0.813
drink	18948043	Alcoholic_beverage	car	13673345	Automobile	0.304
drink	7984	Drink	ear	768413	Ear	0.131
drink	7984	Drink	mouth	9293603	Mouth	0.596
drink	66254	Drinking	eat	212818	Eating	0.687
baby	73165	Infant	mother	83430	Mother	0.785
drink	7984	Drink	mother	83430	Mother	0.265
car	13673345	Automobile	automobile	13673345	Automobile	0.894
gem	12806	Gemstone	jewel	12806	Gemstone	0.896
journey	155747	Travel	voyage	2173925	Voyage	0.929
boy	194253	Boy	lad	null	null	0.883
coast	5236	Coast	shore	480527	Shore	0.91
asylum	38722	Psychiatric_hospital	madhouse	null	null	0.887
magician	7689495	Magician_(fantasy)	wizard	7689495	Magician_(fantasy)	0.902
midday	209005	Noon	noon	209005	Noon	0.929
furnace	238150	Furnace	stove	556358	Stove	0.879
food	10646	Food	fruit	10843	Fruit	0.752
bird	3410	Bird	cock	26574	Rooster	0.71
